Renderer: GeForce RTX 2080 Ti/PCIe/SSE2
OpenGL version supported:4.1.0 NVIDIA 419.35
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
[    0.000,    0.100,    1.500]
